date,year,month,month_name,region_label,station_name,station_id,latitude,longitude,elevation_m,monthly_rainfall_mm
1901-04-01,1901,4,Apr,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,32.4
1901-05-01,1901,5,May,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,27.5
1901-06-01,1901,6,Jun,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,85.2
1901-07-01,1901,7,Jul,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,65.2
1901-08-01,1901,8,Aug,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,28.6
1901-09-01,1901,9,Sep,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,25.8
1901-10-01,1901,10,Oct,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,23.4
1901-11-01,1901,11,Nov,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,11.7
1901-12-01,1901,12,Dec,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,14.0
1902-01-01,1902,1,Jan,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,2.1
1902-02-01,1902,2,Feb,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,19.4
1902-03-01,1902,3,Mar,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,25.9
1902-04-01,1902,4,Apr,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,6.4
1902-05-01,1902,5,May,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,13.2
1902-06-01,1902,6,Jun,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,50.4
1902-07-01,1902,7,Jul,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,32.9
1902-08-01,1902,8,Aug,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,34.1
1902-09-01,1902,9,Sep,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,26.7
1902-10-01,1902,10,Oct,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,32.3
